CÓDIGO;DESCRIÇÃO MATÉRIA-PRIMA;CEREAIS COM GLÚTEN;LEITE E DERIVADOS;SULFITO;SOJA E DERIVADOS;PEIXE E DERIVADOS;OBSERVAÇÃO
43632225;NESCAFE DLCGSTChococinoChocAglomerado BR;Glúten;Leite;;Soja;;
43776246;NESCDLCGST Latte Macch Vanila Creamer;Glúten;Leite;;Soja;;
44027773;NESCAFE DOLCE GUSTO Nescau Renovation BR;Glúten;Leite;;Soja;;
43821292;NESCDLCGST Mochaccino Canelal;Glúten;Leite;;Soja;;
43919320;NESC DLC GST Nestea Peach BR;Glúten;Leite;;;;
44107448;NESCAFE DOLCE GUSTO Alpino;Glúten;Leite;;Soja;;
44166926;NESCAFE DOLCE GUSTO Alpino;Glúten;Leite;;Soja;;
44120098;NESCDLCGST Zero Lactose;Glúten;Leite;;Soja;;
43929518;NESCDLCGST Mochaccino Canela Torre 1;Glúten;Leite;;Soja;;
43843797;NESCDLCGST Chococino Caramel Creamer;Glúten;Leite;;Soja;;
44004769;NESCDLCGST Mocha Café BR;Glúten;Leite;;Soja;;
44004776;NESCDLCGST Chai Tea BR;Glúten;Leite;;Soja;;
44131961;NESCDLCGST Chai Tea BR;;;;;;
44064143;NESCDLCGST Cappuccino Ice Coffee;Glúten;Leite;;Soja;;
44064119;NESCDLCGST Ice Cappuccino Creamer BR;Glúten;Leite;;Soja;;
43730379;NESCAU Premix Dosimetria Ppb Per 254kg;;Leite;;;;
44148356;STARBUKS Caramel Macchiatto Creamer;Glúten;Leite;;Soja;;
44107447;NESCAFE DOLCE GUSTO Nesquik Morango;Glúten;Leite;;Soja;;
44166189;NESC DLC GST Cafe Au Lait Vanilla;Glúten;Leite;;Soja;;
43525388;Nescau UHT Light Premix;;;;Soja;;
43625259;NESQUIK Premix Dosimetria Cortez;;;;Soja;;
44229195;NESCDLCGST Chá Mate com Limão;Glúten;Leite;;;;
44235178;NESCAFE DOLCE GUSTO Galak BR;Glúten;Leite;;Soja;;
44253417;NESCAFE DOLCE GUSTO Mochaccino Avelã;Glúten;Leite;;Soja;;
44291975;NDG CAPPUCCINO Netflix;Glúten;Leite;;Soja;;
44287793;NESCAFE DOLCE GUSTO SBUX Latte Macchiato Creamer;Glúten;Leite;;Soja;;
43514927;Nesquik Chocolate Bulk JP;Glúten;Leite;;Soja;;
44187680;NESC DLC GST Moca Doce de Leite;Glúten;Leite;;Soja;;
43690092;Nesquik Chocolate OptiStart 500kg KR;Glúten;Leite;;Soja;;
43793541;Nesquik Morango Saco 25kg;Glúten;Leite;;Soja;;
44301508;NDG Sensação Creamer;Glúten;Leite;;Soja;;
44328377;NESCDLCGST Pingado;Glúten;Leite;;Soja;;
44328364;NESCAFE DOLCE GUSTO Caramelo Salgado;Glúten;Leite;;Soja;;
44346656;NESCAFE DOLCE GUSTO Alpino Dark;Glúten;Leite;;Soja;;
44064144;NESCDLCGST Skinny Creamer;Glúten;Leite;;Soja;;
44357551;NESCAFE DOLCE GUSTO Brigadeiro BR;Glúten;Leite;;Soja;;
44357475;NESCAFE DOLCE GUSTO KitKat BR;Glúten;Leite;;Soja;;
44346656;NESCAFE DOLCE GUSTO Alpino Intense BR;Glúten;Leite;;Soja;;
43989416;NESC DLC GST Hibiscus with Cranberry;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
43989435;NESCDLCGST Cha Branco Camomila Maracuja;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44157847;NESCDLCGST Mate Laranja e Acerola;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44157850;NESCDLCGST Pink Lemonade;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44127189;NESCAU Premix Dosimetria RTD Win 233,5kg;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44152663;NESCAU Premix DosimetriaPpb25,2kgWinCons;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44175071;Premix Nescau Zero Lactose RTD;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
43908436;Premix Farinha Lactea Ppb;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
44283497;NESQUIK Premix Nova Formula 2023;;;;;;Não armazenar próximo de MP ou HALB com Alergênicos
